OBJECTID,TYPE,YEAR,DATE_,TIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,DATETIME
11,Possession,2012,2012/01/03 05:00:00+00,23:15:00,b'\x8f.\xc0.\x99\\\xca',30,4D,403,397600,143000,501,5D,U,U ,M,Narcotics,Ucsa Possession Marijuana,5400 BLOCK OF GEORGIA AVE NW,397600,143000,2012/01/04 04:15:00+00
12,Possession,2012,2012/01/03 05:00:00+00,23:15:00,b'\x8f.\xc0.\x99\\\xca',43,4D,403,397600,143000,,,U,U ,M,Narcotics,Ucsa Possession Marijuana,5400 BLOCK OF GEORGIA AVE NW,397600,143000,2012/01/04 04:15:00+00
13,Possession,2012,2012/01/04 05:00:00+00,0:52:00,b'\xa0\xe7K\x98:\x85/',20,7D,701,401300,133400,607,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF S ST SE,401300,133400,2012/01/04 05:52:00+00
14,Possession,2012,2012/01/04 05:00:00+00,3:10:00,b'f\x10\xee\x1b\xb3.\xba',40,7D,701,401800,133000,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF GOODHOPE RD SE,401800,133000,2012/01/04 08:10:00+00
15,Possession,2012,2012/01/04 05:00:00+00,16:46:00,b'>d\xdd\x91\x04\xfd#',29,5D,503,403700,139900,404,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF 9TH ST NW,397800,141000,2012/01/04 21:46:00+00
16,Possession,2012,2012/01/04 05:00:00+00,17:30:00,b'\xb9\x0fkS\xf8\x1f(',19,1D,101,397400,137200,402,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,EUCLID ST NW,398000,139600,2012/01/04 22:30:00+00
17,Possession with intent to distribute,2012,2012/01/04 05:00:00+00,17:55:00,b'\t\xf3\xabF`\xd1I',20,6D,602,406600,137300,602,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5200 BLOCK OF SHERIFF RD NE,0,0,2012/01/04 22:55:00+00
18,Possession,2012,2012/01/04 05:00:00+00,18:20:00,"b'\xe8\x9a,4\x91\xbb\xed'",27,7D,708,399400,129300,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,HALF / POTOMAC AVE SW,0,0,2012/01/04 23:20:00+00
19,Possession,2012,2012/01/04 05:00:00+00,18:30:00,"b""\xaam'\xfc\x99\x80\xdc""",42,6D,607,401300,133300,701,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF T ST SE,0,0,2012/01/04 23:30:00+00
20,Possession with intent to distribute,2012,2012/01/04 05:00:00+00,18:35:00,b'\x16\xe5\xc0\x199q\xb7',43,6D,605,402900,134300,607,6D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,NELSON PL SE,0,0,2012/01/04 23:35:00+00
21,Possession with intent to distribute,2012,2012/01/04 05:00:00+00,19:10:00,b'q\x8d\x8c_%\x11\x80',21,6D,604,406500,134900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5300 BLOCK OF E ST SE,406500,134900,2012/01/05 00:10:00+00
22,Possession with intent to distribute,2012,2012/01/04 05:00:00+00,19:10:00,b'\xc7f\xbd{\x81/\xbe',43,6D,607,402700,133700,701,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,27TH ST SE,402700,133400,2012/01/05 00:10:00+00
23,Possession with intent to distribute,2012,2012/01/04 05:00:00+00,19:25:00,b'\xd4\x00~R\xdd\xc0\xb3',31,3D,304,397800,139600,302,3D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,2600 BLOCK OF SHERMAN AVE NW,397800,139600,2012/01/05 00:25:00+00
24,Possession,2012,2012/01/04 05:00:00+00,19:30:00,b'\x91re\xe5N\x1fT',44,1D,105,398700,134100,105,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF DELAWARE AVE SW,0,0,2012/01/05 00:30:00+00
25,Possession,2012,2012/01/04 05:00:00+00,19:30:00,b'\x91re\xe5N\x1fT',44,1D,105,398700,134100,105,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,DELAWARE AVE SW,401100,133000,2012/01/05 00:30:00+00
26,Possession,2012,2012/01/04 05:00:00+00,21:18:00,b'\xf4\xb8\xbf\xefLcN',34,5D,505,401100,139300,302,3D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF SARATOGA AVE NE,401100,139300,2012/01/05 02:18:00+00
27,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,14:03:00,b'!j\x90\x15\xa8\xe1\x9b',25,5D,505,400400,138800,601,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,BRENTWOOD RD NE,400700,139000,2012/01/05 19:03:00+00
28,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,14:03:00,b'!j\x90\x15\xa8\xe1\x9b',38,5D,505,400400,138800,102,1D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,BRENTWOOD RD NE,400700,139000,2012/01/05 19:03:00+00
29,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,17:10:00,b'\xb0`\x11\xb9\xe5\xa5O',27,6D,603,404500,135900,603,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3900 BLOCK OF AMES ST NE,404500,135900,2012/01/05 22:10:00+00
30,Possession,2012,2012/01/05 05:00:00+00,17:10:00,b'\xb0`\x11\xb9\xe5\xa5O',30,6D,603,404500,135900,603,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3900 BLOCK OF AMES ST NE,404500,135900,2012/01/05 22:10:00+00
31,Possession,2012,2012/01/05 05:00:00+00,17:12:00,b'\x01\xb9Qj*\xd2a',23,6D,605,403400,134000,308,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,O ST NW,396700,137900,2012/01/05 22:12:00+00
32,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,17:53:00,b'e\xa8\x87D\xd4p\xce',41,6D,602,406100,136300,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF 50TH ST NE,406100,136300,2012/01/05 22:53:00+00
33,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,18:30:00,b'\x97\xfe\xee\xa5\xcbm)',23,5D,507,401600,137300,401,4D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1600 BLOCK OF L ST NE,401700,137300,2012/01/05 23:30:00+00
34,Possession,2012,2012/01/05 05:00:00+00,18:30:00,b'\xc0i!\xcc\xff\x18G',35,6D,603,404500,135900,601,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3600 BLOCK OF JAY ST NE,0,0,2012/01/05 23:30:00+00
35,Possession,2012,2012/01/05 05:00:00+00,19:36:00,b'\x81\xc1\xd4\xf9y5\xd1',37,1D,103,399200,137600,708,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,19TH / H ST NE,0,0,2012/01/06 00:36:00+00
36,Distribution,2012,2012/01/05 05:00:00+00,19:37:00,b'\x81\xc1\xd4\xf9y5\xd1',20,1D,103,399200,137600,507,5D,B ,U ,M,Narcotics,Ucsa Distributing Marijuana,BENNING RD NE,401700,136900,2012/01/06 00:37:00+00
37,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,20:11:00,b'VW\xf1\xe9M}\xdc',19,7D,703,400300,132200,103,1D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,2600 BLOCK OF BIRNEY PL SE,400300,132200,2012/01/06 01:11:00+00
38,Distribution,2012,2012/01/05 05:00:00+00,20:21:00,b'za\xc2<w\xa8\xe4',34,7D,708,399200,129000,605,6D,B ,U ,M,Narcotics,Ucsa Distributing Marijuana,BENNING RD NE,401700,136900,2012/01/06 01:21:00+00
39,Possession,2012,2012/01/05 05:00:00+00,20:36:00,b'J\x877\x89!\xa6\xf9',29,3D,304,398000,139600,,,W ,N ,M,Narcotics,Ucsa Possession Marijuana,GEORGIA AVE NW,397900,140500,2012/01/06 01:36:00+00
40,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,21:01:00,b'\x8fp\xcb9AK\xea',23,7D,704,402300,130700,704,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,MISSISSIPI AVE SE,0,0,2012/01/06 02:01:00+00
41,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,21:35:00,b'\x91\x8cC\xf1\t_f',30,3D,306,398100,139900,302,3D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,ALLEY 600 GRESHAM ST NW,0,0,2012/01/06 02:35:00+00
42,Possession,2012,2012/01/05 05:00:00+00,23:50:00,b'Kk\xe8\x1b\xdd\xce>',23,7D,701,401400,133000,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,V ST NW,397200,138900,2012/01/06 04:50:00+00
43,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,Juvenile,Juvenile,Juvenile,7D,701,0,0,608,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,0,0,2012/01/05 05:00:00+00
44,Possession,2012,2012/01/06 05:00:00+00,17:20:00,b'\x05L\xe8~0C\x9c',27,4D,405,399700,141200,405,4D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,4000 BLOCK OF HAREWOOD DR NE,399700,141200,2012/01/06 22:20:00+00
45,Possession with intent to distribute,2012,2012/01/06 05:00:00+00,17:20:00,b'\xee\xa9\x18>9\x8c\x9a',50,5D,501,399000,138100,702,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1500 BLOCK OF 1ST ST NW,399000,138100,2012/01/06 22:20:00+00
46,Possession with intent to distribute,2012,2012/01/06 05:00:00+00,17:25:00,b'\xee\xa9\x18>9\x8c\x9a',38,5D,501,399000,138100,501,5D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,1500 BLOCK OF 1ST ST NW,399000,138100,2012/01/06 22:25:00+00
47,Possession,2012,2012/01/06 05:00:00+00,17:50:00,b')\x15\x1f\xf3\x95\x80Q',20,7D,707,399500,129900,602,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF FIRST ST SE,399500,129900,2012/01/06 22:50:00+00
48,Possession with intent to distribute,2012,2012/01/06 05:00:00+00,17:50:00,b')\x15\x1f\xf3\x95\x80Q',28,7D,707,399500,129900,707,7D,B ,U ,F,Narcotics,Ucsa Pwid Marijuana,3700 BLOCK OF FIRST ST SE,399500,129900,2012/01/06 22:50:00+00
49,Possession,2012,2012/01/06 05:00:00+00,18:04:00,b'V\x16\xf4x\xea+U',39,6D,602,406400,136600,602,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,5300 BLOCK OF CLOUD PL NE,0,0,2012/01/06 23:04:00+00
50,Possession with intent to distribute,2012,2012/01/06 05:00:00+00,18:23:00,b'\x9d8\xbf\xa5\xc3+\xd4',48,5D,502,399900,139100,502,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100,2012/01/06 23:23:00+00
51,Possession with intent to distribute,2012,2012/01/06 05:00:00+00,18:23:00,b'\xfeE7E\x9d\xfe\xd4',49,5D,502,399900,139100,701,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100,2012/01/06 23:23:00+00
52,Possession,2012,2012/01/06 05:00:00+00,18:24:00,b'\x81\xc4\xb7\xf0\xaf\x88\xc7',29,5D,502,399900,139100,203,2D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100,2012/01/06 23:24:00+00
53,Possession with intent to distribute,2012,2012/01/06 05:00:00+00,18:24:00,b's\xadh\x88\x98\xa4t',38,5D,502,399900,139100,502,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100,2012/01/06 23:24:00+00
54,Possession,2012,2012/01/06 05:00:00+00,18:30:00,b'5\x99>\xddg=R',45,4D,403,397600,142800,403,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,ALLEY 5200 GEORGIA AVE NW,0,0,2012/01/06 23:30:00+00
55,Possession,2012,2012/01/06 05:00:00+00,18:50:00,b'\x0b\xf2\xd1O\x9f\xe5\xd5',27,6D,604,406400,134900,401,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5300 BLOCK OF E ST SE,406400,134900,2012/01/06 23:50:00+00
56,Possession,2012,2012/01/06 05:00:00+00,23:30:00,b'\x99$\x07\x07\xa2\xd2\xfb',31,1D,104,399200,137700,501,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1ST / N ST NE,0,0,2012/01/07 04:30:00+00
57,Possession,2012,2012/01/06 05:00:00+00,Juvenile,Juvenile,Juvenile,3D,307,0,0,307,3D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,0,0,2012/01/06 05:00:00+00
58,Possession,2012,2012/01/07 05:00:00+00,1:25:00,b'\x0e\xe5\xe7q1W<',30,1D,101,397400,137300,101,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF L ST NW,397400,137300,2012/01/07 06:25:00+00
59,Possession,2012,2012/01/07 05:00:00+00,6:15:00,b'8$X\xa1\xb3\xb9\xb3',18,5D,507,402400,136500,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500,2012/01/07 11:15:00+00
60,Possession,2012,2012/01/07 05:00:00+00,6:15:00,b'8$X\xa1\xb3\xb9\xb3',18,5D,507,402400,136500,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500,2012/01/07 11:15:00+00
61,Possession,2012,2012/01/07 05:00:00+00,6:15:00,b'8$X\xa1\xb3\xb9\xb3',19,5D,507,402400,136500,506,5D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500,2012/01/07 11:15:00+00
62,Possession,2012,2012/01/07 05:00:00+00,6:15:00,b'8$X\xa1\xb3\xb9\xb3',20,5D,507,402400,136500,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500,2012/01/07 11:15:00+00
63,Possession,2012,2012/01/07 05:00:00+00,13:55:00,b'\x1f\x93\x18cYp\x19',40,6D,601,404600,137300,601,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3800 BLOCK OF JAY ST NE,404700,137100,2012/01/07 18:55:00+00
64,Possession,2012,2012/01/07 05:00:00+00,14:10:00,b'\x15\xd7\xb1S#\xb3\xd9',24,6D,601,404500,137100,507,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3800 BLOCK OF HAYES ST NE,404500,137100,2012/01/07 19:10:00+00
65,Possession,2012,2012/01/07 05:00:00+00,14:15:00,b'O8\xf4i\xd3-\x9c',18,7D,706,400800,129900,607,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF MORRIS RD SE,401100,132400,2012/01/07 19:15:00+00
66,Possession,2012,2012/01/07 05:00:00+00,14:20:00,b'aQ\x04\x93K\xf9J',23,6D,601,404500,137300,,,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF HAYES ST NE,404500,137300,2012/01/07 19:20:00+00
67,Possession,2012,2012/01/07 05:00:00+00,15:10:00,"b'/\xda5xh""\x91'",18,6D,608,406600,136200,608,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,54TH ST NE,0,0,2012/01/07 20:10:00+00
68,Possession,2012,2012/01/07 05:00:00+00,15:10:00,b'\xa8f4\xf3j\x96\xad',44,5D,506,401400,138000,,,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1200 BLOCK OF MT OLIVET RD NE,401400,138000,2012/01/07 20:10:00+00
69,Distribution,2012,2012/01/07 05:00:00+00,15:17:00,b'\xd7\x9b\x83\x0f2\xaf%',24,6D,604,405500,135500,602,6D,B ,U ,F,Narcotics,Ucsa Distributing Marijuana,4600 BLOCK OF BENNING RD SE,405500,135500,2012/01/07 20:17:00+00
70,Possession,2012,2012/01/07 05:00:00+00,15:20:00,b'D\x8eXz\xc7qH',35,5D,507,401600,136800,507,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1500 BLOCK OF BENNING RD NE SALLEY,401600,136900,2012/01/07 20:20:00+00
71,Possession,2012,2012/01/07 05:00:00+00,16:25:00,b'\xe6\x86\xfcif\x81a',44,5D,505,401500,139300,707,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2300 BLOCK OF 15TH ST NE,401500,139200,2012/01/07 21:25:00+00
72,Possession,2012,2012/01/07 05:00:00+00,16:50:00,b'p\x1b\x98\x82|B3',22,3D,307,397600,138300,405,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,11TH / R ST NW,0,0,2012/01/07 21:50:00+00
73,Possession,2012,2012/01/07 05:00:00+00,17:55:00,b'\x13\x87N\x99\xe1\xaa+',33,3D,305,397900,138500,604,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF 9TH ST NW,397900,138500,2012/01/07 22:55:00+00
74,Possession,2012,2012/01/07 05:00:00+00,18:20:00,b'\xf8\x01\x1e\xa2\xbe\x9a\xe9',18,1D,103,398800,136500,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2ND ST NW,398600,138500,2012/01/07 23:20:00+00
75,Possession,2012,2012/01/07 05:00:00+00,18:55:00,b'\x88tfG\x8d\x8c\x06',46,6D,608,406400,135900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5300 BLOCK OF AMES ST NE,406400,135900,2012/01/07 23:55:00+00
76,Distribution,2012,2012/01/07 05:00:00+00,Juvenile,Juvenile,Juvenile,1D,105,0,0,501,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,0,0,2012/01/07 05:00:00+00
77,Distribution,2012,2012/01/07 05:00:00+00,Juvenile,Juvenile,Juvenile,1D,105,0,0,501,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,0,0,2012/01/07 05:00:00+00
78,Possession,2012,2012/01/08 05:00:00+00,7:30:00,b'F\xf9n\xc4\x1e\xa5\x80',26,5D,506,401700,138800,306,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF NEW YORK AVE NE,401700,138800,2012/01/08 12:30:00+00
79,Possession,2012,2012/01/08 05:00:00+00,15:42:00,b'\xba\xaa\xa7^\x15\xfbw',21,3D,303,396700,139800,,,U,H ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF COLUMBIA RD NW,396700,139800,2012/01/08 20:42:00+00
80,Possession,2012,2012/01/08 05:00:00+00,19:15:00,b'M\x13\xb2N)\x1c}',22,4D,405,399700,143000,405,4D,W ,N ,M,Narcotics,Ucsa Possession Marijuana,CRITTENDEN,0,0,2012/01/09 00:15:00+00
81,Possession,2012,2012/01/08 05:00:00+00,19:20:00,b'R\xd1\xe6\x8c\xc9z\xa6',19,7D,706,400800,129900,706,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,900 BLOCK OF VALLEY AVE SE,400800,129900,2012/01/09 00:20:00+00
82,Possession,2012,2012/01/08 05:00:00+00,19:55:00,b'\xc4\xf9w\xf9pr\xe3',27,4D,405,400500,141000,405,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF 10TH ST NE,400500,141000,2012/01/09 00:55:00+00
83,Possession,2012,2012/01/08 05:00:00+00,21:45:00,"b""\xbc\xdd\xb1'^\xe5\x9e""",40,7D,702,402600,132000,,,B ,N ,F,Narcotics,Ucsa Possession Marijuana,ALABAMA / AINGER PL SE,398300,139300,2012/01/09 02:45:00+00
84,Possession,2012,2012/01/08 05:00:00+00,Juvenile,Juvenile,Juvenile,7D,703,0,0,702,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,0,0,2012/01/08 05:00:00+00
85,Possession,2012,2012/01/09 05:00:00+00,10:30:00,b'\xfePHY\x0c\xbd\xea',25,1D,102,398400,136200,703,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF ALABAMA AVE SE,402600,131700,2012/01/09 15:30:00+00
86,Possession with intent to distribute,2012,2012/01/09 05:00:00+00,20:55:00,b'o\xc6\x0c\xd3Y\t\xe8',23,6D,602,405900,136900,608,6D,U,U ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF 49TH ST NE,405900,136900,2012/01/10 01:55:00+00
87,Possession with intent to distribute,2012,2012/01/09 05:00:00+00,20:55:00,b'o\xc6\x0c\xd3Y\t\xe8',47,6D,602,405900,136900,608,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF 49TH ST NE,405900,136900,2012/01/10 01:55:00+00
88,Possession,2012,2012/01/09 05:00:00+00,Juvenile,Juvenile,Juvenile,7D,703,0,0,505,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,0,0,2012/01/09 05:00:00+00
89,Possession,2012,2012/01/10 05:00:00+00,8:55:00,b'>\x14z\x84\xcf\xaen',21,7D,701,402000,130300,101,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1900 BLOCK OF SOUTHERN AVE SE,402000,130300,2012/01/10 13:55:00+00
90,Possession,2012,2012/01/10 05:00:00+00,16:36:00,b'\x07\x9a\xb1\x814jW',39,6D,602,406300,136500,705,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,500 BLOCK OF 51ST ST NE,0,0,2012/01/10 21:36:00+00
91,Possession with intent to distribute,2012,2012/01/10 05:00:00+00,16:45:00,b'[\xb2\xc06Ixf',25,7D,704,401900,130700,704,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3400 BLOCK OF STANTON RD SE,0,0,2012/01/10 21:45:00+00
92,Possession,2012,2012/01/10 05:00:00+00,16:55:00,b'>7\n\xb6\xa6&\xc5',65,5D,506,401700,137500,503,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF MEIGS PL NE,401700,137500,2012/01/10 21:55:00+00
93,Possession,2012,2012/01/10 05:00:00+00,17:16:00,b'\xc3\x7f\xf87\x9c\xbfr',67,4D,403,397600,143000,108,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,ALLEY 5400 ILLINOS AVE NW,0,0,2012/01/10 22:16:00+00
94,Possession with intent to distribute,2012,2012/01/10 05:00:00+00,18:00:00,b'\xea\x1d\xdf\xb3\xce\xc7\xcb',21,6D,603,403800,135500,708,7D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,2400 BLOCK OF ELVANS RD SE,401200,131700,2012/01/10 23:00:00+00
95,Possession with intent to distribute,2012,2012/01/10 05:00:00+00,19:45:00,b'\xa7+\x1ews\xb6M',18,6D,602,405900,137900,602,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4900 BLOCK OF QUARLES ST NE,405900,137900,2012/01/11 00:45:00+00
96,Possession with intent to distribute,2012,2012/01/10 05:00:00+00,20:55:00,b'o\xc6\x0c\xd3Y\t\xe8',28,6D,602,405900,136900,,,W ,N ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF 49TH ST NE,405900,136900,2012/01/11 01:55:00+00
97,Possession,2012,2012/01/10 05:00:00+00,21:30:00,b'\xf1t\xdd\xfe\x80\x01w',56,7D,705,400700,130700,101,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,10TH / ALABAMA AVE SE,0,0,2012/01/11 02:30:00+00
98,Possession,2012,2012/01/10 05:00:00+00,21:50:00,b'\x8fR\xd8\xc0K\x1aO',30,5D,502,400400,139800,504,5D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2800 BLOCK OF 7TH ST NE,0,0,2012/01/11 02:50:00+00
99,Possession,2012,2012/01/10 05:00:00+00,Juvenile,Juvenile,Juvenile,1D,105,0,0,105,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,0,0,2012/01/10 05:00:00+00
